Fiscal Year,Requirement Description,Office Symbol,N=New R= Recompete,NAICS Code,Extent of Competition,Estimated Value,Incumbent Contractor,Length of Performance,Target Award Fiscal Year Quarter,Place of Performance if Outside US,Point of Contact Name,Point of Contact Email Address,Item Type,Path
FY 15,IT Services and Support,EUR-IO/EX/GSD,N,561110 - Office Administrative Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 3 Option Periods (4yrs),Quarter 2 (Jan-Mar),N/A,Jon Arbin,ArbinJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mail Metering,CA/PPT/S/PPS,R,334111 - Electronic Computer Manufacturing,Not Competed – Other Than Small Business,>$5M and <$10M,Pitney Bowes (agreements with each PPT agency),Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Adam Tremper,CA-Vendor-Inquiries@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Passport Cards,CA/PPT/S/PPS,R,339999 - All Other Miscellaneous Manufacturing,Competitive - Full and Open,>$50M and <$100M,MorphoTrust USA,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Shamere Mack,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Consumable Supplies,CA/PPT/S/PPS,R,423840 - Industrial Supplies Merchant Wholesalers,Competitive - Full and Open,>$20M and <$50M,MorphoTrust USA,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Shamere Mack,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Airtime BGan Services,EUR-IO/EX/GSD,R,561210 - Facilities Support Services,Competitive - Full and Open,>$150K and <$500K,"GlobeComm Systems, Inc.",Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Jon Arbin,ArbinJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ESM (Enterprise Strategy & Management),CA/CST,R,"541990 - All Other Professional, Scientific, and Technical Services",TBD,>$20M and <$50M,ICF,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Independent Verification and Validation (IV&V),CA/CST,R,541512 - Computer Systems Design Services,Set Aside,>$50M and <$100M,Vistronix,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Tempest IT Services,EUR-IO/EX/GSD,N,561110 - Office Administrative Services,Competitive - Full and Open,>$1M and <$5M,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Jon Arbin,ArbinJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Configuration Management Services (CMS),CA/CST,R,541519 - Other Computer Related Services,TBD,>$20M and <$50M,Assyst,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ECM Scanning Services,EUR-IO/EX/GSD,N,561110 - Office Administrative Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Jon Arbin,ArbinJS@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Oracle Vault,CA/CST,R,541519 - Other Computer Related Services,TBD,>$5M and <$10M,DLT Solutions,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Service Integration & Innovation (SII),CA/CST,R,541519 - Other Computer Related Services,TBD,>$20M and <$50M,CITI,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Consular Affairs Support Services (CASS) Activities 4, 5, 6, 8",CA/CST,R,541519 - Other Computer Related Services,TBD,>$20M and <$50M,HARRIS,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Worldwide,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Consular Affairs Support Services (CASS) Activities 3, 9, 10",CA/CST,R,541519 - Other Computer Related Services,TBD,>$20M and <$50M,HARRIS,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),Worldwide,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Enterprise Operations Services (EOS),CA/CST,N,541519 - Other Computer Related Services,TBD,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,PMO Admin,CA/CST,R,561110 - Office Administrative Services,TBD,>$1M and <$5M,TSD,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR/ACE,R,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$500K and <$1M,Blueforce,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Pam Anderson,andersonpj@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Integration, Operations and Maintenance (I/O&M)",CA/CST,N,541519 - Other Computer Related Services,TBD,>$20M and <$50M,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Tom Cherry,CA-Vendor-Inquiries@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR/ACE,R,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$500K and <$1M,Obxtek,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Pam Anderson,andersonpj@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/personnel,EUR-IO/EX/GSD,R,561110 - Office Administrative Services,Veteran Owned Small Business Sole Source,>$150K and <$500K,"Obxtek, Inc.",Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Tiye Ray,RayTC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR-IO/EX/GSD,R,561110 - Office Administrative Services,Service Disabled Veteran Owned Small Business Competed,>$500K and <$1M,Allied Technical Service Group,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Tiye Ray,RayTC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,RxNT - Prescription Prescribing - Web based subscription,MED,R,541519 - Other Computer Related Services,TBD,>$150K and <$500K,"Networking Technology, Inc.",Base Option Period (1yr),Quarter 1 (Oct-Dec),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Annual Flu Vaccine Purchase,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 3 (Apr-Jun),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR-IO/EX/GSD,R,561110 - Office Administrative Services,Women Owned Small Business Competed,>$500K and <$1M,Beacon Associates,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Tiye Ray,RayTC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Security Upgrade of six offices,MED,N,238290 - Other Building Equipment Contractors,TBD,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR-IO/EX/GSD,R,561110 - Office Administrative Services,Veteran Owned Small Business Competed,>$1M and <$5M,Henderson Group,Base + 3 Option Periods (4yrs),Quarter 2 (Jan-Mar),N/A,Tiye Ray,TC@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR-IO/EX/GSD,N,561110 - Office Administrative Services,Competitive - Full and Open,>$5M and <$10M,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Tiye Ray,RayTC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Contractor/Personnel,EUR-IO/EX/GSD,N,561110 - Office Administrative Services,Competitive - Full and Open,>$500K and <$1M,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Tiye Ray,RayTC@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"Provider of medevac airplane for high risk medical evacuees, biocontainment transport, biocontainment system, and non-evd medevac for AF COM personnel",MED,R,488190 - Other Support Activities for Air Transportation,TBD,>$20M and <$50M,Phoenix Air,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),Worldwide,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Reserve Medical Unit Kit Program - purchase of medical supplies and equipment,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Public Speaking for A-100,FSI/SPAS/OR,R,611430 - Professional and Management Development Training,Set Aside,>$150K and <$500K,Edel Communications,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Jennifer Orrico,OrricoJL@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Pharmaceuticals - Eight Provider Boxes supporting provider and emergency care ,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Expendable Medical Supplies - 8 deployable medical sets,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$500K and <$1M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Media Training,FSI/SPAS/PD,R,611430 - Professional and Management Development Training,Set Aside,>$500K and <$1M,Various,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Clare Ashley,AshleyCI@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Public Speaking,FSI/SPAS/PD,R,611430 - Professional and Management Development Training,Set Aside,>$150K and <$500K,Arena Stage,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Clare Ashley ,AshleyCI@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Comprehensive Advanced Life Support - CALS complete rebuild of bags for worldwide deployment,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"PRM aims to obtain contractors to conduct two separate evaluations of U.S. assistance programs for vulnerable populations in the Europe, Central Asia and Americas and Asia and Near East regions. ",PRM/PRP,N,928120 - International Affairs,Competitive - Full and Open,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),Multiple,"Wrzosek, Maria D",WrzosekMD@state.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Building Automatic Systems,FSI/SPAS/MTT,R,611430 - Professional and Management Development Training,Competitive - Full and Open,>$150K and <$500K,BASI,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Gary Hein,HeimGM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Microsoft Official Courseware,FSI/SAIT,N,611430 - Professional and Management Development Training,TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Towana Gilmore,GilmoreTK@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,RMUK repackaging program  - Medical Unit Kits,MED,N,561990 - All Other Support Services,TBD,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,BPA - RMUK Replenishments for kits currently at post,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,Kidane AX@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Presentation Skills,FSI/SPAS/POL,R,611430 - Professional and Management Development Training,Set Aside,>$150K and <$500K,Various,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Lorelei Snyder,SnyderLG@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Negotiation Skills,FSI/SPAS/POL,R,611430 - Professional and Management Development Training,Set Aside,>$150K and <$500K,Goodwin International,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Lorelei Snyder,SnyderLG@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,BPA - Emergency Medical Unit Kit - Builds,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,Kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,International Negotiations,FSI/SPAS/POL,R,611430 - Professional and Management Development Training,Set Aside,>$150K and <$500K,Various,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Tanya Alfredson,AlfredsonTD@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Empoyee Relations,FSI/LMS/LTD,R,611430 - Professional and Management Development Training,Set Aside,>$150K and <$500K,"Newpoint Strategies, LLC",Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Margaret McLaughlin,McLaughlinMM@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,BPA - EMUK Replenishments,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Conference Space and Lodging,FSI/LMS/EDD,R,611430 - Professional and Management Development Training,TBD,>$150K and <$500K,Various,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Rebecca Dunham,DunhamRJ@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Hospital Bag Builds,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$1M and <$5M,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,ATNAA (Contingency) - Emergency Medical ,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$100M and <$500M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Doxycycline - Medical Supplies,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Medical Countermeasure - MCM A Kits - Replenishments to the 23 current kits,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$150K and <$500K,N/A,Less than 12 Months,Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Expeditionary Medical Unit Kits - sets of Expeditionary Medical Equipment for operational personnel in MED/OM,MED,N,"423450 - Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",TBD,>$1M and <$5M,N/A,Base Option Period (1yr),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,IDIQ - Teleconsultation with a local hospital for medical providers located overseas,MED,N,622110 - General Medical and Surgical Hospitals,TBD,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Assefa Kidane,kidaneax@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,PPS Development and Maintenance,BP,R,541519 - Other Computer Related Services,Sole Source,>$500K and <$1M,N/A,Base Option Period (1yr),Quarter 1 (Oct-Dec),N/A,Anthony Walker,walkeran@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Community Democarcy,DRL,N,561499 - All Other Business Support Services,8(a) Sole Source,>$1M and <$5M,N/A,Base + 2 Option Periods (3yrs),Quarter 1 (Oct-Dec),N/A,Steve Moody,SMoody@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Special Assistant,OES/SECC,R,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 1 Option Period (2yrs),Quarter 4 (Jul-Sep),N/A,Clare Sierawski,CSierawski@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Strategic Coordinator,OES/EGC,R,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base Option Period (1yr),Quarter 4 (Jul-Sep),N/A,Griff Thompson,GThompson@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Program Analyst,OES/CPU,R,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 1 Option Period (2yrs),Quarter 4 (Jul-Sep),N/A,Maria Urbina,MUrbina@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Mercury Program Analyst,OES/EQT,R,541611 - Administrative Management and General Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 1 Option Period (2yrs),Quarter 4 (Jul-Sep),N/A,Sezaneh Seymour,SSeymour@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Jefferson Science Fellows,OES,N,561499 - All Other Business Support Services,Sole Source,>$500K and <$1M,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Maria Urbina,MUrbina@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,OPENTEXT,DRL,N,541611 - Administrative Management and General Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 3 Option Periods (4yrs),Quarter 4 (Jul-Sep),N/A,Jonathan Tull,JTull@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Beacon Associates for a fixed price contract for various administrative and management support specialist,EB-ENR,N,561110 - Office Administrative Services,TBD,>$150K and <$500K,Beacon Associates,Base + 2 Option Periods (3yrs),Quarter 1 (Oct-Dec),N/A,Ava Donette Cappello Dougherty, CappelloAD @State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Beacon Associates Sustainable Energy for All Consultants,ENR/ETR,R,928120 - International Affairs,TBD,>$150K and <$500K,Beacon Associates,Base + 2 Option Periods (3yrs),Quarter 2 (Jan-Mar),Multiple,Ava D Cappello,CappelloAD@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,"IMD, InVest Tech",DRL,N,541513 - Computer Facilities Management Services,TBD,>$150K and <$500K,N/A,Base + 3 Option Periods (4yrs),Quarter 3 (Apr-Jun),N/A,Jonathan Tull,JTull@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,OpenText Content Server,DRL,N,541513 - Computer Facilities Management Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Jonathan Tull,JT@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,MLGA Leahy Advisor Contractor,DRL,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$150K and <$500K,N/A,Base + 1 Option Period (2yrs),Quarter 3 (Apr-Jun),N/A,Winston Mann,WMann@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Program Evaluation,OES/EGC,N,541611 - Administrative Management and General Management Consulting Services,TBD,>$500K and <$1M,N/A,Base + 1 Option Period (2yrs),Quarter 4 (Jul-Sep),N/A,Nancy Ahson,NAhson@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES-DRL-EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,ATSG,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES/DRL-EX,R,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,Beacon Associates,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES/DRL-EX,R,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,ATSG,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,GCTF Support Services,CT/EX,R,541611 - Administrative Management and General Management Consulting Services,Service Disabled Veteran Owned Small Business Competed,>$1M and <$5M,Booz Allen Hamilton,Base + 1 Option Period (2yrs),Quarter 2 (Jan-Mar),N/A,Leon Coates,Coates@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Counterterrorism Preparedness Program Support Services,CT/EX,R,541611 - Administrative Management and General Management Consulting Services,Service Disabled Veteran Owned Small Business Competed,>$5M and <$10M,Science Application International Corp (SAIC),Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Rachel Bennett,BennettRA@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES-DRL-EX,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES-DRL/EX,R,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 3 (Apr-Jun),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES/DRL-EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 2 (Jan-Mar),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES/DRL-EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES-DRL-EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES-DRL/EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES/DRL-EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES-DRL/EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES/DRL-EX,N,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Foreign Assistance,OES/DRL-EX,R,541618 - Other Management Consulting Services,Competitive - Full and Open,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 4 (Jul-Sep),N/A,Monica Osborne,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Evaluation contracts,GP,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amanda Cauldwell or Karen Chen,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Evaluation contracts,GP,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amanda Cauldwell or Karen Chen,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Evaluation contracts,GP,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amanda Cauldwell or Karen Chen,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
FY 15,Evaluation contracts,GP,N,541618 - Other Management Consulting Services,Sole Source,>$150K and <$500K,N/A,Base + 4 Option Periods (5yrs),Quarter 1 (Oct-Dec),N/A,Amanda Cauldwell or Karen Chen,@State.gov,Item,sites/OPE/PFS/Lists/ProcurementForecastingTool
