"GSA
Organization",Region,Award Status,Product or Service Description,"Place of Performance
(City)","Place of Performance
(State)",Primary NAICS Code,Socioeconomic Category,Contract Type,Procurement Method,Competition Strategy,From (Min),To (Max),Delivery Order Value,"Incumbent Contractor Name
(if applicable)","Contract/Order Number
(if applicable)","New Requirement
or Exercise of Option or Recompete",Funding Agency/Office,Estimated Solicitation Date,"Link to Solicitation in FedBizOpps
(if available)","Estimated Award Fiscal Year
and Quarter","Point of Contact
(Name)","Point of Contact
(Email Address)",OSBU Small Business Technical Advisor (SBTA),Additional Information
PBS-Public Buildings Service,R7-Greater Southwest Region,Awarded,"Fire Sprinkler System, Federal Courtkouse and US Post Office, Fort Smith, AR",Fort Smith,AR,236220,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,500000,1000000,785545.1,,GS-07P-15-HH-D-0041/GS-P-07-15-UT-7028,New Requirement,GSA funded-PBS,N/A,,FY 2016-1st Quarter,Paul Shirlee,paul.shirlee@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",SDB/8(a)/HUB
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,"SSA Space Renovation, El Dorado, AR",El Dorado,AR,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,250000,TBD,,TBD,New Requirement,Non-GSA funded,N/A,,FY 2016-2nd Quarter,Paul Shirlee,paul.shirlee@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Awarded,Custodial,El Paso,TX,561720,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",250000,500000,495263,,,Recompete,GSA funded-PBS,1st Quarter FY15,,FY 2016-2nd Quarter,Paul Syzmanski,paul.syzmanski@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Option Exercise Pending,O&M Services - Option IV,Austin,TX,561210,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",822438,822438,822438,Aleut,GS-07P-12-JU-D-0093,Option,GSA funded-PBS,,,FY 2016-4th Quarter,Paul Szymanski,paul.szymanski@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Option 4 - 10/1/2016
PBS-Public Buildings Service,R7-Greater Southwest Region,Evaluation Stage,Custodial,Fort Worth,TX,561720,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",750000,1000000,1083612,,,Recompete,GSA funded-PBS,Closed,,FY 2016-1st Quarter,Roberta Cromeens,roberta.cromeens@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Evaluation Stage,"Project No. RTX01196, BOTA HVAC Improvements",El Paso,TX,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,250000,500000,,,,New Requirement,GSA funded-PBS,4th Quarter FY15,NA,FY 2016-1st Quarter,Rosalva Ramos,rosalva.ramos@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",BA 54 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Replace Carpet,Laredo,TX,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,250000,500000,TBD,,TBD,New Requirement,Non-GSA funded,TBD,,FY 2016-3rd Quarter,Rosalva Ramos,rosalva.ramos@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",currently on hold.
PBS-Public Buildings Service,R7-Greater Southwest Region,Awarded,Replace LAN AC Units,Laredo,TX,238220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,250000,195674.5,,GS07P15HHD0018/GSP0716UK7000,New Requirement,Non-GSA funded,TBD,,FY 2016-1st Quarter,Rosalva Ramos,rosalva.ramos@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Awarded,Chiller Replacement at BOTA,El Paso,TX,238220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Contract,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",500000,1000000,500000,,GS07P15UKC7001,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Rosalva Ramos,rosalva.ramos@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,SSA ODAR Build Out,El Paso,TX,236220,Small Business,Firm Fixed Price,Contract,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",500000,1000000,TBD,,TBD,New Requirement,Both,2016-01-04,,FY 2016-3rd Quarter,Rosalva Ramos,rosalva.ramos@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Waiting on additional funding.
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,FDC Line Repair,Pharr,TX,236220,Small Business,Firm Fixed Price,Purchase Order,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",25000,100000,TBD,,TBD,New Requirement,GSA funded,TBD,,FY 2016-1st Quarter,Rosalva Ramos,rosalva.ramos@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Pending clarifications from contractor
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Kennels Renovations,Pharr,TX,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,250000,,NA,,New Requirement,Non-GSA funded,2015-12-21,,FY 2016-2nd Quarter,Rosalva Ramos,rosalva.ramos@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Awarded,USDC Clerk's Office Renovations,Waco,TX,236220,Small Disadvantaged Business (includes Section 8a),Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,25000,100000,48186.32,"Ben Reyna Contracting, Inc.",GS07P15HHD0021/GSP0716UR7001,New Requirement,Non-GSA funded,2015-09-24,,FY 2016-1st Quarter,Senthia Bruns,senthia.bruns@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,Install new wall and double doors for a Mantrap for the FBI,Houston,TX,236220,HUBZone Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,25000,100000,27219.13,American Renewable Energy,,New Requirement,Non-GSA funded,2015-10-20,,FY 2016-1st Quarter,Senthia Bruns,senthia.bruns@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Drafting Solicitation,Bob Casey AHU & Hydronic Replacement,Houston,TX,236220,HUBZone Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,1000000,5000000,TBD,N/A,,New Requirement,GSA funded-PBS,2015-12-16,,FY 2016-2nd Quarter,Senthia Bruns,Senthia.bruns@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,Judge Hittner Wall Panels & Jury Room,Houston,TX,236220,HUBZone Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,0,25000,TBD,N/A,,New Requirement,Non-GSA funded,2015-10-14,,FY 2016-1st Quarter,Senthia Bruns,Senthia.bruns@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,5th Floor Terrazzo Flooring at Bob Casey,Houston,TX,236220,HUBZone Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,0,25000,TBD,N/A,,New Requirement,Non-GSA funded,2015-10-22,,FY 2016-1st Quarter,Senthia Bruns,Senthia.bruns@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
FAS-Federal Acquisition Service,R7-Greater Southwest Region,Planning,Various,various Locations,VARIOUS LOCATIONS,Various NAICS,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",Firm Fixed Price,To Be Determined,To Be Determined,0,0,TBD,N/A,N/A,New Requirement,Non-GSA funded,TBD,,FY 2016-Quarter To Be Determined,Shaloy Castle-Higgins,Shaloy.Castle-Higgins@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov","Global Supply requisitions: Currently at any given time, Region 7 Global Supply has a low dollar requirement Work In Process of approximately 5000 lines. The composition of these requirements are not known ahead of times since it is based on requisitions received from customer agencies."
PBS-Public Buildings Service,R7-Greater Southwest Region,Awarded,Project RNM10002 Pete Domenici Courthouse Chiller Replacement,Albuquerque,NM,238220,Small Business,Firm Fixed Price,Definitive Contract,Set-Aside,254331.88,254331.88,,H+P Construction Services LLC,GS-07-P-16-JU-C-7176,New Requirement,GSA funded-PBS,2015-01-31,https://www.fbo.gov/index?s=opportunity&mode=form&id=91c0cae4a2b5c311145e9b12686feb4d&tab=core&_cview=1,FY 2016-1st Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",BA54 Program Solicitation No. GS-07P-15-UF-C-7002
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,HVAC Scheduling Control and Demand Control Ventilation,Albuquerque,NM,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,25000,100000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-3rd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"HVAC Scheduling Control, Restore operation of Variable Frequency Drives, Boiler Plant efficiency testing, VAV Box Retrocommissioning, and Parking lot lighting retrofit",Albuquerque,NM,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,25000,100000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-3rd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"Boiler Plant Scheduling and setback,HVAC Scheduling Control, and VAV Box Retrocommissioning",Little Rock,AR,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,1,25000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-3rd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"Restore operation of VFDs, Chilled Water Supply Temp Reset, HVAC Scheduling Control, Investigate Friday and Sunday Consumption, and Domestic Hot Water Recirculation Loop Setback",New Orleans,LA,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,25000,100000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-3rd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Lighting and HVAC Scheduling Controls,Oklahoma City,OK,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,1,25000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-3rd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"Lighting Controls, HVAC Scheduling Control, Condensor Water Reset, Parking lot lighting retrofit, Lighting Retrofit, and VFD Retrofit - Cooling Towers",Austin,TX,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,500000,1000000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-4th Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"HVAC Scheduling Control, and Parking lot lighting retrofit",Dallas,TX,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,1,25000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-2nd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Lighting and HVAC Schedule Controls,Fort Worth,TX,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,100000,250000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-2nd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"Lighting and HVAC Scheduling Controls, and Plug Load Management",Dallas,TX,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,1,25000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-2nd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"HVAC Scheduling Control, Condenser Water Reset, Lighting Retrofit, VFDs on Hot Water Pumps, and eliminating unnecessary simultaneous heating & cooling",Fort Worth,TX,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,250000,500000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-2nd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"Lighting and HVAC Schedule Controls, and Plug load management",Austin,TX,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,25000,100000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-4th Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Outdoor LED lighting Parking Garage,Fort Worth,TX,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,1,25000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-2nd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",LED Lighting BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,Indoor LED Lighting,Dallas,TX,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,25000,100000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-2nd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",LED Lighting BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"Lighting Controls, HVAC Scheduling Controls, Data Center Cooling, and Plug Load Management",Farmers Branch,TX,238220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,25000,100000,,,,New Requirement,GSA funded-PBS,TBD,,FY 2016-4th Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",First Fuel BA55 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Evaluation Stage,HVAC Load Reduction Module - Installation of four (4) HLR-500C US Customs House,Houston,TX,238220,Small Business,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,250000,,,,New Requirement,GSA funded,2015-08-19,,FY 2016-1st Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Green Proving Ground (GPG) Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Solicitation Issued,"Purchase and install two Magnetic Levitation chillers, 2 step down transformers, 4 pumps, integration of new equipment to BAS. Jack Brooks FB",Beaumont,TX,238220,Small Business,Firm Fixed Price,Definitive Contract,Set-Aside,500000,1000000,,,,New Requirement,GSA funded,2015-12-03,https://www.fbo.gov/index?s=opportunity&mode=form&id=f26e0f20ee2e6a8b7f1eace9f0e94edf&tab=core&_cview=0,FY 2016-3rd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",BA 54 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Solicitation Issued,replace existing one each air cooled 200 ton chiller with two (2) new water cooled 117 ton magnetic levitation chillers,Victoria,TX,238220,Small Business,Firm Fixed Price,Definitive Contract,Set-Aside,500000,1000000,N/A,,,New Requirement,GSA funded,2015-12-04,https://www.fbo.gov/index?s=opportunity&mode=form&tab=core&id=4a2c7494afff319e22d6fda073a2f71b&_cview=0,FY 2016-3rd Quarter,Shawna Villarreal,shawna.villarreal@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
FAS-Federal Acquisition Service,R7-Greater Southwest Region,Planned -10/1/2016,Contract labor for contracting support for AOD and TSD (Option 3) ,Fort Worth,TX,541611,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Blanket Purchase Agreement,Competitive Delivery Order Fair Opportunity Provided,291737.55,1924764.6,291737.55,VMSI,,Option,GSA funded-FAS,FY2016,,FY 2016-4th Quarter,Sheila Morrison,sheila.morrison@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
FAS-Federal Acquisition Service,R7-Greater Southwest Region,Planned -5/20/2020,R7 PBX Maintenance Task Order ***,,REGIONWIDE,811213,Service Disabled Veteran-owned Small Business,Firm Fixed Price,Purchase  Order ,Set-Aside,2500,1798535.19,1798535.19,Americom Automation Services,,Option,GSA funded-FAS,FY2016,,FY 2016-Quarter To Be Determined,Sheila Morrison,sheila.morrison@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov","- We do not know how much money will be obligated during this period of performance, because this is an ""on-demand"" maintenance task order to support our existing R7 PBX equipment. Because it is ""on-demand"" the total FY16 dollars  cannot be predicted with any degree of certainty. This is a Network Services Task Order."
PBS-Public Buildings Service,R7-Greater Southwest Region,Solicitation Issued,Fire/Life Safety for Navy Warehouse 10 & 11,Fort Worth,TX,238220,Other Than Small,Firm Fixed Price,Definitive Contract,Full and Open,500000,1000000,,,,New Requirement,GSA funded,2015-12-15,,FY 2016-1st Quarter,Sherry Phillips,schahresad.phillips@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",1/13- RFPs due 1/28; RFIs due 1/20
PBS-Public Buildings Service,R7-Greater Southwest Region,Drafting Solicitation,"Installation of Concrete Steel Reinforced Bollards and Mylar for FEMA, Denton",Fort Worth,TX,236220,To Be Determined-IDIQ,Firm Fixed Price,Indefinite Delivery Vehicle (IDV),Follow On to Competed Action,100000,250000,,,,New Requirement,Non-GSA funded,2015-12-29,,FY 2016-1st Quarter,Sherry Phillips,schahresad.phillips@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",1/13- RFQs due 1/19
PBS-Public Buildings Service,R7-Greater Southwest Region,Drafting Solicitation,"Installation of Cable Management System Flooring, Courthouse, Abilene",Abilene,TX,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Follow On to Competed Action,25000,100000,,,,New Requirement,Non-GSA funded,2015-12-23,,FY 2016-1st Quarter,Sherry Phillips,schahresad.phillips@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",1/13- RFQs due 1/22
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,"Renovate Chambers, Shreveport Courthouse,",Shreveport,LA,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,250000,TBD,N/A,,New Requirement,Non-GSA funded,,,FY 2016-1st Quarter,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,"Design Services, SSA Barrier Wall",Batesville,AR,541310,Other Than Small,Firm Fixed Price,Order under IDV,Non-Competitive Delivery Order,25000,25000,TBD,N/A,,New Requirement,Non-GSA funded,,,FY 2016-1st Quarter,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"Carpet Installation, RM-A401, US District Courthouse",Little Rock,AR,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,25000,100000,TBD,N/A,,New Requirement,Non-GSA funded,,,FY 2016-Quarter To Be Determined,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Problems with proposals received from IDIQ contractors.  Looking at other options.
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,"Remodel Restrooms, Us Courthouse",Tyler,TX,236220,"Multiple Small Business Categories (provide all categories in Column ""Y""-Additional Information)",Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,25000,25000,TBD,N/A,,New Requirement,Non-GSA funded,,,FY 2016-1st Quarter,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,US Attorney's Office 1st & 2nd Floor Renovations,Baton Rouoge,LA,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,25000,25000,TBD,N/A,,New Requirement,Non-GSA funded,2016-02-01,,FY 2016-2nd Quarter,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,ITA 4th floor Office Renovations,Little Rock,AR,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order - Fair Opportunity Provided,25000,100000,tbd,N/A,,New Requirement,Non-GSA funded,1/6/0201,,FY 2016-1st Quarter,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"6th & 4th Fl New Office Construction for DHHS,",Little Rock,AR,236220,To Be Determined,Firm Fixed Price,To Be Determined,To Be Determined,100000,250000,TBD,N/A,,New Requirement,Non-GSA funded,2016-01-15,,FY 2016-1st Quarter,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,"Fence for USMS, USCourthouse",Shreveport,LA,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,25000,25000,TBD,N/A,,New Requirement,Non-GSA funded,,,FY 2016-1st Quarter,Stephan Harris,stephan.harris@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Award Pending,Project No. RTX01080. US Geological Survey ISA M&I,Fort Worth,TX,541330,Small Business,Firm Fixed Price,Order under IDV,Non-Competitive Delivery Order,25000,100000,,,,New Requirement,Both,1st Quarter FY16,NA,FY 2016-1st Quarter,Sylvia Garza,sylvia.garza@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",BA 54 Program
PBS-Public Buildings Service,R7-Greater Southwest Region,Option Exercise Pending,Cusodial,Albuquerque,NM,561720,AbilityOne,Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,"Not Available for Competition (e.g., 8a sole source, HUBZone & SDVOSB sole source, Ability One, all > SAT)",436408,436408,436408,LifeRoots,GS-07P-14-JU-D-0042,Option,GSA funded-PBS,,,FY 2016-4th Quarter,Tekisha Randall,tekisha.randall@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Option 2 - 11/1/2016
PBS-Public Buildings Service,R7-Greater Southwest Region,Option Exercise Pending,Full Maintenance,"Santa Fe, Alb, Gallup",NM,561210,Small Business,Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,,0,0,,,GS-07P-13-JU-D-0019,Option,GSA funded-PBS,,,FY 2016-2nd Quarter,Tekisha Randall,tekisha.randall@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Option 3 - 5/1/2016
PBS-Public Buildings Service,R7-Greater Southwest Region,Option Exercise Pending,O&M Services - Option IIl,"Las Cruces, Roswell",TX,561210,HUBZone Small Business,Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,"Full and Open after exclusion of sources (competitive small business set-asides, competitive 8a)",0,0,753725,Northern Management,GS-07P-08-UF-A-0002/GSP0715JU5213,Option,GSA funded-PBS,,,FY 2016-4th Quarter,Tekisha Randall,tekisha.randall@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Option 5- 11/1/2016
PBS-Public Buildings Service,R7-Greater Southwest Region,Solicitation Issued,"NM13-040, DHS Split System, NM1577ZZ, Albuquerque, NM",Albuquerque,NM,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,100000,250000,211040,,Pending,New Requirement,Non-GSA funded,2015-11-12,,FY 2016-1st Quarter,Tiffany Woolery,tiffany.woolery@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Planning,"NM-14-045, Probation-PSR Phase 2",Albuquerque,NM,236220,To Be Determined-IDIQ,Firm Fixed Price,Order under IDV,Competitive Delivery Order Fair Opportunity Provided,250000,500000,382022.75,,Pending,New Requirement,Non-GSA funded,2015-01-15,,FY 2016-2nd Quarter,Tiffany Woolery,tiffany.woolery@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",
PBS-Public Buildings Service,R7-Greater Southwest Region,Option Exercise Pending,Full Maintenance,"OK City, Lawton",OK,561210,Other Than Small,Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,Full and Open,0,0,802861,Emcor,GS-07P-10-JU-A-0107/GS-P-07-16-JU-5001,Option,GSA funded-PBS,,,FY 2016-4th Quarter,Tina Carter,tina.carter@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Option 3 - 11/1/2016
PBS-Public Buildings Service,R7-Greater Southwest Region,Option Exercise Pending,O&M Services - Option VII,"Tulsa, Muskogee McAlester",OK,561210,Other Than Small,Firm Fixed Price,Indefinite Delivery Vehicle Base Contract,Full and Open,0,0,672068,Emcor,GS-07P-10-UD-A-0007,Option,GSA funded-PBS,,,FY 2016-2nd Quarter,Tina Carter,tina.carter@gsa.gov,"Tony Gregg, 817-978-0542, tony.gregg@gsa.gov",Option VII - 2/1/2016
