agency,estimated_fiscal_year,description,office,naics,socioeconomic,award-amount,estimated_fiscal_year_quarter,place_of_performance_state
state,FY 16,Administrative Support Services,FSI,561110,8(a) Competitive,>$20M and <$50M,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,Language Training Unit (LTU) Recording Equipment,FSI/EX/AVF,334310,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Information Technology Professional Services and Program Support,FSI/SAIT,611420,TBD,>$10M and <$20M,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,Master Antenna Television System /Internet Protocol,FSI/EX/AVF,334310,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Production Studio High Definition Redesign,FSI/EX/AVF,334310,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,"Services for Assessment, Audit and Best Practices in relation to Leadership Training",FSI/LMS/EDD,611430,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Development of continuous and blended learning in relation to executive leadership,FSI/LMS/EDD,611430,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Course in Theory and Practice of Group Dynamics,FSI/LMS/EDD,611430,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Microsoft Official Courseware,FSI/SAIT,611420,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun);#Quarter 4 (Jul-Sep),N/A
state,FY 16,Course Coordinator,FSI/SPAS/AS,611430,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Appropriation Law Course,FSI/SPAS/MTT,611430,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Counselor services to support retirees in job transition from the government to private sector (FSI Job Search Program),FSI/TC/CTC,611430,TBD,>$1M and <$5M,Quarter 2 (Jan-Mar);#Quarter 3 (Apr-Jun),N/A
state,FY 16,Contracting Officer's Representative's Course,FSI/SPAS/MTT,611430,TBD,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,Introduction to Diplomacy course for new Foreign Service Generalists,FSI/EX/OR,611430,TBD,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Public Speaking course for new Foreign Service Generalists,FSI/SPAS/OR,611430,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,"Language Services i.e. instructors, testers, examiners, curriculum developers",FSI/SLS,611630,TBD,>$100M and <$500M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Language Instruction Distance Learning Mentor Services,FSI/SLS,611630,TBD,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Language Training Unit (LTU) Test Delivery Automation,FSI/SLS,611630,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Design & Development of new course in theory and practice of Diplomacy,FSI/SPAS/OR,611430,TBD,>$150K and <$500K,Quarter 3 (Apr-Jun),N/A
state,FY 16,Offsite venue for Orientation of new Foreign Service Officials,FSI/SPAS/OR,611430,TBD,>$500K and <$1M,Quarter 4 (Jul-Sep),N/A
state,FY 16,Media Training ,FSI/SPAS/PD,611430,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Cable Writing,FSI/SPAS/SO,611430,TBD,>$150K and <$500K,Quarter 4 (Jul-Sep),N/A
state,FY 16,School of Language Studies Management Portal-Database,FSI/SLS,518210,TBD,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Service Delivery Operations 2 (SDO2),CA/CST,541519,Competitive - Full and Open,>$100M and <$500M,Quarter 2 (Jan-Mar),Worldwide
state,FY 16,"Research, Innovation & Systems Engineering (RISE)",CA/CST,541519,Competitive - Full and Open,>$50M and <$100M,Quarter 4 (Jul-Sep),Worldwide
state,FY 16,Consular Systems and Modernization,CA/CST,541519,Competitive - Full and Open,>$100M and <$500M,Quarter 2 (Jan-Mar),N/A
state,FY 16,Admin Support,PRM/EX,921190,Competitive - Full and Open,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Admin Support,PRM/A,921190,Competitive - Full and Open,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,Program Support,PRM/EX,921190,Competitive - Full and Open,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Program Support,PRM/A,921190,Competitive - Full and Open,>$150K and <$500K,Quarter 2 (Jan-Mar),N/A
state,FY 16,ALSE Equipment for INL Air Wing,INL/AP,334511,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,APRRP Police Crowd Control Vehicles,INL/CAP,336992,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Senegal
state,FY 16,APRRP Vehicles,INL/CAP,441110,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Rwanda
state,FY 16,APRRP Vehicles,INL/CAP,441110,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Ghana
state,FY 16,Ballistic Helmets for Baluchistan Police,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Ballistic Helmets for Sindh Police,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Bullet Proof vest for Islamabad Police,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Bullet Proof vest for National Highway & Motorway Police Pakistan,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Bullet Proof vests for Sindh Police,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Bullet resistant vests for patrol police,INL/EA,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Georgia
state,FY 16,Colombian National Police COPAN Base in Finca Paraguay Analysis of Electrical System,INL/WHP,238210,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Colombia
state,FY 16,Communication Equipment- IN32JMC6,INL/WHP,334220,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Jamaica
state,FY 16,Computer Equipment -IN36PMMM,INL/WHP,334111,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Panama
state,FY 16,EIC SPS Comayagua Annex catering,INL/WHP,722320,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Honduras
state,FY 16,FACILITIES REMODELING,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),El Salvador
state,FY 16,Firearm Simulation,INL/WHP,611519,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Belize
state,FY 16,Forensics Ballistics Training Advisor,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Belize
state,FY 16,Furniture Package for Sindh Police,INL/AP,238390,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Pakistan
state,FY 16,General Infrastructure Improvements at FIATT HQ,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Guatemala
state,FY 16,Helmets for Sindh Police,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,HR system for Dominican National Police,INL/WHP,541513,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Dominican Republic
state,FY 16,HR system for Dominican National Police,INL/WHP,541513,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Dominican Republic
state,FY 16,Night vision Monocular for KPK Police,INL/AP,333314,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,"Police Academies and adjoining facilities (office equipment, furniture, computers, washer dryers, generators)",INL/WHP,238390,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Peru
state,FY 16,POLICE YOUTH CENTERS INFRASTRUCTURE,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),El Salvador
state,FY 16,Prefab Reporting Rooms for Islamabad Police,INL/AP,423310,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,REMODELING IBIS MACHINE AREA,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),El Salvador
state,FY 16,RSS Staff and Command Course,INL/WHP,611430,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Barbados
state,FY 16,Supplemental Training and Equipment Purchases for Police Oversight Entities,INL/AME,611519,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Kenya
state,FY 16,Support for National Financial Analysis Unit,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Dominican Republic
state,FY 16,Support to NGO and Financial Intel Unit,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Colombia
state,FY 16,True Narc Handheld Detector,INL/WHP,334511,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Guatemala
state,FY 16,TT Police Service Crime Scene Investigator Certification program,INL/WHP,611519,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Trinidad and Tobago
state,FY 16,Vehicle Maintenance Program - Equipment,INL/WHP,811310,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Belize
state,FY 16,Vehicle Maintenance Program - Refurbishment,INL/WHP,811310,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Belize
state,FY 16,Vehicles for DIREJANDRO Huallaga and  VRAEM support,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Peru
state,FY 16,Vehicles of different models,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Peru
state,FY 16,Vehicles for CORAH,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Peru
state,FY 16,BUSES FOR NATIONAL POLICE ACADEMY SUPPORT (ANSP),INL/WHP,336510,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),El Salvador
state,FY 16,EQUIPMENT AND TOOLS FOR WOMEN BAKERY PRISON,INL/WHP,333241,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),El Salvador
state,FY 16,Purchase annual insurance and maintenance services for vehicles supporting the aerial eradication program.,INL/WHP,524126,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Purchase two portable aircraft hangars to improve aircraft maintenance in the FOLs.,INL/WHP,488119,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Colombia
state,FY 16,SURVEILLANCE EQUIPMENT FOR MONITORING CENTERS MPP,INL/WHP,334511,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),El Salvador
state,FY 16,Communication Equipment Accessories for Pakistan Coast Guards,INL/AP,334220,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Fully Armored Vehicle for KPK Prison,INL/AP,336992,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Pakistan
state,FY 16,Fully Armored Vehicle for Punjab Prison,INL/AP,336992,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Pakistan
state,FY 16,Fully Armored Vehicle for Sindh Prison,INL/AP,336992,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Pakistan
state,FY 16,Hand tools and equipment for Aviation Mechanics,INL/WHP,423710,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Peru
state,FY 16,ECTC Contract,INL/CAP,531120,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Academy Building - Materials,INL/WHP,423320,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Belize
state,FY 16,Constitutional Law Advisor for the African Union,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Ethiopia
state,FY 16,IMMATES VAN FOR JUVENILE PRISONS (1),INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),El Salvador
state,FY 16,Alternative Development & Capacity Building - Domestic PSC/TPC Contractor,INL/AP,541690,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Afghanistan
state,FY 16,Alternative Development & Capacity Building - Domestic PSC/TPC Contractor,INL/AP,541690,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Afghanistan
state,FY 16,Alternative Development & Capacity Building - Domestic PSC/TPC Contractor,INL/AP,541690,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Afghanistan
state,FY 16,ATV's reconnasaince teams and light vehicles for the CD Brigade.,INL/WHP,441228,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Colombia
state,FY 16,"Basic, Specialized, instructor Development",INL/AME,611710,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Jerusalem
state,FY 16,Chachagui Airport - Construct chemical mixing area in  to improve chemical storage facilities.,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Colombia
state,FY 16,Computer Equipment - IN23PMM4,INL/WHP,334111,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Panama
state,FY 16,Corrections - Domestic PSC/TPC Contract for Corrections Advisor,INL/AP,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Afghanistan
state,FY 16,Field gear for Aviation operations,INL/WHP,115112,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Peru
state,FY 16,Forensic Lab Equipment,INL/WHP,423490,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Mexico
state,FY 16,Iraqi Criminal Justice and Government Accountability Assessment,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Iraq
state,FY 16,Justice - TPC Contract for Kabul Justice Advisor,INL/AP,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Afghanistan
state,FY 16,Justice - TPC Contract for Kabul Justice Advisor,INL/AP,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Afghanistan
state,FY 16,Justice Advisor,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Lebanon
state,FY 16,Medical Training for Combat medics assigned to CD Brigade.,INL/WHP,611699,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Medium truck vehicles for the CD Brigade,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Miscellaneous equipment for External Load and Cargo Equipment,INL/WHP,332439,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Peru
state,FY 16,PF - DATABASE INTERFACE,INL/WHP,334111,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Mexico
state,FY 16,"Purchase additional bladders, motors, pumps, filters and containment devices for new operating locations, and the replacement of above mentioned items at existing FOLs which have reached the end useful life.",INL/WHP,423840,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Purchase and install improved 20ft containers as needed in FOLs.,INL/WHP,423840,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Purchase and install improved 40ft containers as needed in FOLs.,INL/WHP,423840,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Purchase combat equipment for alternate insertion and extraction of Air Assault forces.,INL/WHP,812332,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,"Purchase field gear for combatants: power plant 5kws, binoculars, night vision goggles, PAQ 4 laser designators, Kevlar vests/body armor, kevlar helmets, first aid kits, medical bags, digital cameras, video cameras, mine detectors, GPSs, lensatic compasse",INL/WHP,812332,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Rappel Towers in Tulua and Facatativa,INL/WHP,237990,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Colombia
state,FY 16,Safehouse Costs -  Material for Building,INL/WHP,444190,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Belize
state,FY 16,Safehouse Costs - Materials for Building,INL/WHP,444190,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Belize
state,FY 16,San Jose CNP Base - Refurbish the eradication barracks and convert some bedrooms into offices.,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Colombia
state,FY 16,Surveillance camras to support 911 coverage of Colonial ZOne,INL/WHP,334511,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Dominican Republic
state,FY 16,Tactical Gear - IN13PMMS,INL/WHP,812332,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Panama
state,FY 16,UIF - TRAINING,INL/WHP,611430,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Mexico
state,FY 16,VETTED UNIT TRAINING SUPPORT,INL/WHP,611430,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),El Salvador
state,FY 16,EIC/TGU CNP Intructors,INL/WHP,611710,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Honduras
state,FY 16,T-Type Concrete Barriers for Punjab Prison,INL/AP,238110,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Pakistan
state,FY 16,Tracking System,INL/WHP,517919,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Bahamas
state,FY 16,TPC - Report & Technical Writer,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Guatemala
state,FY 16,"Base Security Course Colombia, CENOP",INL/WHP,611710,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Colombia
state,FY 16,Purchase and install improved 20ft containers as needed in FOLs to facilitate operation support at the different locations.,INL/WHP,423840,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Purchase and install tent shelters and associated equipment to provide lodging for CD Brigade personnel,INL/WHP,336214,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,EIC SPS and Comayagua Advisor,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Honduras
state,FY 16,Shoot house civil eng work for roof,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Colombia
state,FY 16,Equipment/Supplies,INL/WHP,423420,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Haiti
state,FY 16,AFIS system upgrade/maintenance package for OIJ,INL/WHP,423430,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Costa Rica
state,FY 16,CORRECTION ADVISOR CONTRACT RENEWAL,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),El Salvador
state,FY 16,Drones for 911 porgram,INL/WHP,336411,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Dominican Republic
state,FY 16,EMX Trailer (MPS/ Border Police),INL/WHP,336214,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Costa Rica
state,FY 16,Logos Digital X-ray System for Sindh Bomb Disposal Unit,INL/AP,541380,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Night vision Monocular for KPK Police,INL/AP,333314,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Pick-up trucks in support of the Colombian Army at the Forward Operating Locations,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Purchase of training simulator for Kazakh Coast Guard,INL/EA,611519,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Kazakhstan
state,FY 16,Royal Bahamas Police Force Police College renovations,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Bahamas
state,FY 16,Sport utility vehicles for the NAU,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Colombia
state,FY 16,Vehicles - IN23PMM4,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Panama
state,FY 16,Vehicles for CORAH,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Peru
state,FY 16,Land Border Sensor & Training,INL/WHP,611430,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Belize
state,FY 16,Hatchback Car for Anti Narcotics Force,INL/AP,423110,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Field Gear Equipment (DIREJANDRO) - non uniforms related,INL/WHP,453998,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Peru
state,FY 16,INL Deputy Director PSC contract,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Jerusalem
state,FY 16,INL PSC Contract Officer Representative,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Jerusalem
state,FY 16,IDENTIFICATION AND CONTROL SYSTEM JUVENILE DETAINE,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),El Salvador
state,FY 16,Locks,INL/WHP,423710,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Bahamas
state,FY 16,Corrections - Construction Monitoring (Baghlan),INL/AP,236220,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Afghanistan
state,FY 16,Regional Corrections Advisor,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Morocco
state,FY 16,Additional IT equipment for Emergency data back-up center,INL/EA,334112,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Georgia
state,FY 16,Bullet Proof Vest for Baluchistan Police.,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Compstat Advisors - IN41PMMJ,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Panama
state,FY 16,Computers- IN41JMC7,INL/WHP,334111,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Jamaica
state,FY 16,CONSTRUCTION OF SEGREGATION UNIT AT MARIONA,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),El Salvador
state,FY 16,Corrections Advisor,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Lebanon
state,FY 16,CREATION OF SEGREGATION UNITS AT CIUDAD BARRIOS,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),El Salvador
state,FY 16,DECO Curriculum Development,INL/CAP,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),N/A
state,FY 16,Fuel Contract for Counternarcotic Projects,INL/WHP,324110,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Haiti
state,FY 16,Governor Led Eradication - Governor Led EradicationEquipment Acquisition& Repair,INL/AP,541611,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Afghanistan
state,FY 16,Helmet Ground for Pakistan Coast Guards,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Med-Eng EOD 9 bomb suits and helmets for BDU Sindh,INL/AP,315990,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Police Equipment - IN23PMM4,INL/WHP,453998,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Panama
state,FY 16,Purchase and install tent shelters and associated equipment to provide lodging for CNP personnel.,INL/WHP,336214,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Colombia
state,FY 16,Software Improvements,INL/WHP,334111,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Belize
state,FY 16,Solar System,INL/AME,221114,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Jerusalem
state,FY 16,Specialized Equipment - IN41PMMH,INL/WHP,221114,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Panama
state,FY 16,Support for anti-gang units - IN36PMMM,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Panama
state,FY 16,"Villa Garzon FOL - Construct glyphosate, mixing and storage area for residual materials (AT-802 Compatible) required for compliance with environmental standards.",INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Colombia
state,FY 16,Civil eng work for virtual range,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Colombia
state,FY 16,Hand-held Explosive Detectors for FIA Pakistan,INL/AP,334511,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Hand-held Explosive Detectors for Islamabad Police,INL/AP,334511,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Hand-held Explosive Detectors for National Highway & Motorway Police,INL/AP,334511,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Uniform and Related supplies for Police Academy Students,INL/WHP,315190,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Peru
state,FY 16,Ballistic Helmets for Khyber Pakhtunkhwa Police,INL/AP,339113,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Pakistan
state,FY 16,Bilateral Senior Police Liaison Officer,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Liberia
state,FY 16,HESCO Barriers for KPK Prison,INL/AP,332311,Set Aside,>$150K and <$500K,Quarter 3 (Apr-Jun),Pakistan
state,FY 16,Genetic analizer for Human Identification,INL/WHP,423490,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),El Salvador
state,FY 16,Fire Tender Vehicle for Pakistan Coast Guards,INL/AP,423110,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Pakistan
state,FY 16,Toyota Single Cabin for Pakistan Coast Guards,INL/AP,423110,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Pakistan
state,FY 16,APRRP Capacity Building,INL/CAP,541690,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Ghana
state,FY 16,APRRP Capacity Building,INL/CAP,541690,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Rwanda
state,FY 16,Bilateral Radio Communications Advisor,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Liberia
state,FY 16,Develop Juvenile Drug Treatment Courts,INL/WHP,922110,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Peru
state,FY 16,Purchase of materials for installation improvements at three mobile CD Brigade  temporary forward operating locations.,INL/WHP,444190,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Colombia
state,FY 16,Specialized training by US Forces personnel,INL/WHP,611519,Set Aside,>$150K and <$500K,Quarter 2 (Jan-Mar),Colombia
state,FY 16,Toyota Double Cabin Pickups for Pakistan Coast Guards,INL/AP,423110,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Pakistan
state,FY 16,TT Forensics Advisor program,INL/WHP,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Trinidad and Tobago
state,FY 16,VEHICLES FOR FORCE 300 UNIT,INL/WHP,423110,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),El Salvador
state,FY 16,Villa Garzon FOL - Refurbish existing electrical system to support increased power load/electrical substation and transfer.,INL/WHP,236220,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Colombia
state,FY 16,Base Security Course IAAFA and MOS Courses NAVSCIATTS and WHINSEC,INL/WHP,611710,Set Aside,>$150K and <$500K,Quarter 1 (Oct-Dec),Colombia
state,FY 16,Renew TPC Contract #SINLEC15L088,INL/AME,541611,Set Aside,>$150K and <$500K,Quarter 4 (Jul-Sep),Jerusalem
